10000, Dark Catseye
1000, Rare Catseye
1000, Special Catseye
1000, Super Rare Catseye
1000, Uber Rare Catseye

1000, Axe Cat
1000, Bird Cat
1000, Cat
1000, Cow Cat
1000, Fish Cat
1000, Gross Cat
1000, Lizard Cat
10000, Tank Cat
1000, Titan Cat
100, Li'l Axe Cat
100, Li'l Bird Cat
100, Li'l Cat
100, Li'l Cow Cat
100, Li'l Fish Cat
100, Li'l Gross Cat
100, Li'l Lizard Cat
1000, Li'l Tank Cat
100, Li'l Titan Cat

10, Accounting
10, Base Defense
10, Research
10, Study
10, Worker Cat Rate
10, Worker Cat Wallet
10, Cat Cannon Charge
10, Cat Energy
10, Cat Cannon Attack

1, Rich Cat
1, Sniper the Cat
1, Speed Up
10000, Treasure Radar
1, Cat CPU
10, Cat Jobs

0, 100K XP
0, 10K XP
0, 30K XP
0, 5K XP
