0000000, Dark Catseye
00000, Rare Catseye
00000, Special Catseye
00000, Super Rare Catseye
00000, Uber Rare Catseye

0000, Axe Cat
0000, Bird Cat
0000, Cat
0000, Cow Cat
0000, Fish Cat
0000, Gross Cat
0000, Lizard Cat
10, Tank Cat
0000, Titan Cat
0000, Li'l Axe Cat
0000, Li'l Bird Cat
0000, Li'l Cat
0000, Li'l Cow Cat
0000, Li'l Fish Cat
0000, Li'l Gross Cat
0000, Li'l Lizard Cat
0000, Li'l Tank Cat
0000, Li'l Titan Cat

000, Accounting
000, Base Defense
000, Research
000, Study
000, Worker Cat Rate
000, Worker Cat Wallet
000, Cat Cannon Charge
000, Cat Energy
000, Cat Cannon Attack

00, Rich Cat
00, Sniper the Cat
00, Speed Up
0000, Treasure Radar
00, Cat CPU
00, Cat Jobs

0, 100K XP
0, 10K XP
0, 30K XP
0, 5K XP
